name,score,status
CN1CCN(C(=O)O[C@@H]2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1.CN1CCN(C(=O)O[C@H]2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,1,FAIL
COC(=O)[C@@H](CN)c1c[nH]c2ccc(OC)cc12.COC(=O)[C@H](CN)c1c[nH]c2ccc(OC)cc12,4,PASS
C[C@@H](N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.C[C@H](N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,2,FAIL
COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1.COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,2,FAIL
CC(=O)c1ccc2c(c1)N(C[C@@H](C)N(C)C)c1ccccc1S2.CC(=O)c1ccc2c(c1)N(C[C@H](C)N(C)C)c1ccccc1S2,2,FAIL
COc1ccc(C[C@@H](C)N)cc1.COc1ccc(C[C@H](C)N)cc1,4,PASS
C1=Cc2cccc(OC[C@@H]3CNCCO3)c2C1.O=S(=O)(O)c1ccccc1,4,PASS
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O.O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,3,PASS
C=CCOc1ccccc1OC[C@@H](O)CNC(C)C.C=CCOc1ccccc1OC[C@H](O)CNC(C)C,3,PASS
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2.CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,2,FAIL
C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1.C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,3,PASS
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1.CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,2,FAIL
C[C@@H](CN(C)C)CN1c2ccccc2CCc2ccccc21.C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,2,FAIL
CCc1c(C)[nH]c2c1C(=O)[C@@H](CN1CCOCC1)CC2.CCc1c(C)[nH]c2c1C(=O)[C@H](CN1CCOCC1)CC2,3,PASS
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O.O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@H]1O,2,FAIL
Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O.Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,2,FAIL
CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1.CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,3,PASS
CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21.CN1C(=O)[C@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21,3,PASS
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,2,FAIL
Cc1ccc(Sc2ccccc2N2CC[NH2+]CC2)c(C)c1,4,PASS
CC1(C)C2CCC1(C)C(OC(=O)N[C@@](C)(Cc1c[nH]c3ccccc13)C(=O)NC[C@H](NC(=O)CCC(=O)O)c1ccccc1)C2,2,FAIL
CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3C(C)=CC[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1,FAIL
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1.O.[Cl-].[H+],4,PASS
CO[C@H]1C[C@H](OC2C(C)=CC[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OCC(=CC=C[C@@H]2C)[C@@]34O)O[C@@H](C)C1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1,1,FAIL
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1.[Cl-].[H+],4,PASS
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1.[Cl-].[H+],4,PASS
CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.O=C(O)C(O)C(O)C(=O)O,3,PASS
Cl.NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,4,PASS
CC(=O)NCCC[C@H](NC(C)=O)C(=O)O.CN(C)CCO,4,PASS
CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC.Cl,3,PASS
Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,4,PASS
O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,3,PASS
CCCC(CCC)C(=O)O.[Na+],4,PASS
O=C1C2C3CCC(C3)C2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,4,PASS
CO[C@H]1CC(O[C@@H]2C(C)=CC[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OCC(=CC=C[C@@H]2C)[C@@]34O)O[C@@H](C)C1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1,1,FAIL
C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC.[Cl-].[H+],4,PASS
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,2,FAIL
CN1CC2c3cc(Cl)ccc3Oc3ccccc3[C@@H]2C1,4,PASS
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C([O-])/C=C\C(=O)[O-],4,PASS
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1.[Cl-].[H+],4,PASS
O=C(O)/C=C\C(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,1,FAIL
C=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,4,PASS
COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](c3ccoc3)C[C@]21C,4,PASS
O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-],4,PASS
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C([O-])/C=C\C(=O)[O-].O=C([O-])/C=C\C(=O)[O-].[H+].[H+].[H+].[H+],2,FAIL
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.[Cl-].[H+],4,PASS
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.[Cl-].[Cl-].[H+].[H+],4,PASS
O=C([O-])/C=C/C(=O)[O-].OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.[H+].[H+],2,FAIL
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.[Cl-].[Cl-].[H+].[H+],4,PASS
O.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1.[Cl-].[H+],4,PASS
CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,4,PASS
COC(=O)[C@@H]1C[C@H](OC(C)=O)C=C2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,4,PASS
CC1=CC(O)=C2C(=O)C3C(O)=CC(O)C4=C3C3=C5C6C4=C(O)C([123I])=C(O)C6C(=O)C4=C(O)C=C(C)C(C45)C1C23,2,FAIL
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,2,FAIL
O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-],4,PASS
O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+],4,PASS
O=C([O-])O.[Li+],4,PASS
CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],4,PASS
CN1c2ccccc2C(NCCCCCCC(=O)[O-])c2ccc(Cl)cc2S1(=O)=O.[Na+],4,PASS
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1.O.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,2,FAIL
O=C(O)O.[Li+],4,PASS
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC1CC2CCC1(C)C2(C)C)C(=O)NCC(NC(=O)CCC(=O)O)c1ccccc1,2,FAIL
CN(C)CCC=C1c2ccccc2CSc2ccccc21.Cl,3,PASS
COc1ccc(OCC2CN(C)CCC2c2ccccc2)cc1.Cl,4,PASS
CNCCC(Oc1cccc2ccccc12)c1cccs1.O=C(O)C(=O)O,4,PASS
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1.O=C(O)/C=C/C(=O)O,4,PASS
C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1.Cl.O,4,PASS
CCCC(CCC)C(=O)[O-].[Na+],4,PASS
C=CCN1CC[C@@]2(C)c3cc(O)ccc3CC1[C@@H]2C.Cl,4,PASS
COC1=CC(=O)O[C@H](/C=C/c2ccccc2)C1,4,PASS
